date,holiday,weekday,weekend
20090810,0,1,0
20090811,0,2,0
20090812,0,3,0
20090813,0,4,0
20090814,0,5,0
20090815,0,6,1
20090816,0,7,1
20090817,0,1,0
20090818,0,2,0
20090819,0,3,0
20090820,0,4,0
20090821,0,5,0
20090822,0,6,1
20090823,0,7,1
20090824,0,1,0
20090825,0,2,0
20090826,0,3,0
20090827,0,4,0
20090828,0,5,0
20090829,0,6,1
20090830,0,7,1
20090831,0,1,0
20090901,0,2,0
20090902,0,3,0
20090903,0,4,0
20090904,0,5,0
20090905,0,6,1
20090906,0,7,1
20090907,0,1,0
20090908,0,2,0
20090909,0,3,0
20090910,0,4,0
20090911,0,5,0
20090912,0,6,1
20090913,0,7,1
20090914,0,1,0
20090915,0,2,0
20090916,0,3,0
20090917,0,4,0
20090918,0,5,0
20090919,0,6,1
20090920,0,7,1
20090921,0,1,0
20090922,0,2,0
20090923,0,3,0
20090924,0,4,0
20090925,0,5,0
20090926,0,6,1
20090927,0,7,0
20090928,0,1,0
20090929,0,2,0
20090930,0,3,0
20091001,1,4,0
20091002,1,5,0
20091003,1,6,1
20091004,1,7,1
20091005,1,1,0
20091006,1,2,0
20091007,1,3,0
20091008,1,4,0
20091009,0,5,0
20091010,0,6,0
20091011,0,7,1
20091012,0,1,0
20091013,0,2,0
20091014,0,3,0
20091015,0,4,0
20091016,0,5,0
20091017,0,6,1
20091018,0,7,1
20091019,0,1,0
20091020,0,2,0
20091021,0,3,0
20091022,0,4,0
20091023,0,5,0
20091024,0,6,1
20091025,0,7,1
20091026,0,1,0
20091027,0,2,0
20091028,0,3,0
20091029,0,4,0
20091030,0,5,0
20091031,0,6,1
20091101,0,7,1
20091102,0,1,0
20091103,0,2,0
20091104,0,3,0
20091105,0,4,0
20091106,0,5,0
20091107,0,6,1
20091108,0,7,1
20091109,0,1,0
20091110,0,2,0
20091111,0,3,0
20091112,0,4,0
20091113,0,5,0
20091114,0,6,1
20091115,0,7,1
20091116,0,1,0
20091117,0,2,0
20091118,0,3,0
20091119,0,4,0
20091120,0,5,0
20091121,0,6,1
20091122,0,7,1
20091123,0,1,0
20091124,0,2,0
20091125,0,3,0
20091126,0,4,0
20091127,0,5,0
20091128,0,6,1
20091129,0,7,1
20091130,0,1,0
20091201,0,2,0
20091202,0,3,0
20091203,0,4,0
20091204,0,5,0
20091205,0,6,1
20091206,0,7,1
20091207,0,1,0
20091208,0,2,0
20091209,0,3,0
20091210,0,4,0
20091211,0,5,0
20091212,0,6,1
20091213,0,7,1
20091214,0,1,0
20091215,0,2,0
20091216,0,3,0
20091217,0,4,0
20091218,0,5,0
20091219,0,6,1
20091220,0,7,1
20091221,0,1,0
20091222,0,2,0
20091223,0,3,0
20091224,0,4,0
20091225,0,5,0
20091226,0,6,1
20091227,0,7,1
20091228,0,1,0
20091229,0,2,0
20091230,0,3,0
20091231,0,4,0
20100101,1,5,0
20100102,1,6,1
20100103,1,7,1
20100104,0,1,0
20100105,0,2,0
20100106,0,3,0
20100107,0,4,0
20100108,0,5,0
20100109,0,6,1
20100110,0,7,1
20100111,0,1,0
20100112,0,2,0
20100113,0,3,0
20100114,0,4,0
20100115,0,5,0
20100116,0,6,1
20100117,0,7,1
20100118,0,1,0
20100119,0,2,0
20100120,0,3,0
20100121,0,4,0
20100122,0,5,0
20100123,0,6,1
20100124,0,7,1
20100125,0,1,0
20100126,0,2,0
20100127,0,3,0
20100128,0,4,0
20100129,0,5,0
20100130,0,6,1
20100131,0,7,1
20100201,0,1,0
20100202,0,2,0
20100203,0,3,0
20100204,0,4,0
20100205,0,5,0
20100206,0,6,1
20100207,0,7,1
20100208,0,1,0
20100209,0,2,0
20100210,0,3,0
20100211,0,4,0
20100212,0,5,0
20100213,1,6,1
20100214,1,7,1
20100215,1,1,0
20100216,1,2,0
20100217,1,3,0
20100218,1,4,0
20100219,1,5,0
20100220,0,6,0
20100221,0,7,0
20100222,0,1,0
20100223,0,2,0
20100224,0,3,0
20100225,0,4,0
20100226,0,5,0
20100227,0,6,1
20100228,0,7,1
20100301,0,1,0
20100302,0,2,0
20100303,0,3,0
20100304,0,4,0
20100305,0,5,0
20100306,0,6,1
20100307,0,7,1
20100308,0,1,0
20100309,0,2,0
20100310,0,3,0
20100311,0,4,0
20100312,0,5,0
20100313,0,6,1
20100314,0,7,1
20100315,0,1,0
20100316,0,2,0
20100317,0,3,0
20100318,0,4,0
20100319,0,5,0
20100320,0,6,1
20100321,0,7,1
20100322,0,1,0
20100323,0,2,0
20100324,0,3,0
20100325,0,4,0
20100326,0,5,0
20100327,0,6,1
20100328,0,7,1
20100329,0,1,0
20100330,0,2,0
20100331,0,3,0
20100401,0,4,0
20100402,0,5,0
20100403,1,6,1
20100404,1,7,1
20100405,1,1,0
20100406,0,2,0
20100407,0,3,0
20100408,0,4,0
20100409,0,5,0
20100410,0,6,1
20100411,0,7,1
20100412,0,1,0
20100413,0,2,0
20100414,0,3,0
20100415,0,4,0
20100416,0,5,0
20100417,0,6,1
20100418,0,7,1
20100419,0,1,0
20100420,0,2,0
20100421,0,3,0
20100422,0,4,0
20100423,0,5,0
20100424,0,6,1
20100425,0,7,1
20100426,0,1,0
20100427,0,2,0
20100428,0,3,0
20100429,0,4,0
20100430,0,5,0
20100501,1,6,1
20100502,1,7,1
20100503,1,1,0
20100504,0,2,0
20100505,0,3,0
20100506,0,4,0
20100507,0,5,0
20100508,0,6,1
20100509,0,7,1
20100510,0,1,0
20100511,0,2,0
20100512,0,3,0
20100513,0,4,0
20100514,0,5,0
20100515,0,6,1
20100516,0,7,1
20100517,0,1,0
20100518,0,2,0
20100519,0,3,0
20100520,0,4,0
20100521,0,5,0
20100522,0,6,1
20100523,0,7,1
20100524,0,1,0
20100525,0,2,0
20100526,0,3,0
20100527,0,4,0
20100528,0,5,0
20100529,0,6,1
20100530,0,7,1
20100531,0,1,0
20100601,0,2,0
20100602,0,3,0
20100603,0,4,0
20100604,0,5,0
20100605,0,6,1
20100606,0,7,1
20100607,0,1,0
20100608,0,2,0
20100609,0,3,0
20100610,0,4,0
20100611,0,5,0
20100612,0,6,0
20100613,0,7,0
20100614,1,1,0
20100615,1,2,0
20100616,1,3,0
20100617,0,4,0
20100618,0,5,0
20100619,0,6,1
20100620,0,7,1
20100621,0,1,0
20100622,0,2,0
20100623,0,3,0
20100624,0,4,0
20100625,0,5,0
20100626,0,6,1
20100627,0,7,1
20100628,0,1,0
20100629,0,2,0
20100630,0,3,0
20100701,0,4,0
20100702,0,5,0
20100703,0,6,1
20100704,0,7,1
20100705,0,1,0
20100706,0,2,0
20100707,0,3,0
20100708,0,4,0
20100709,0,5,0
20100710,0,6,1
20100711,0,7,1
20100712,0,1,0
20100713,0,2,0
20100714,0,3,0
20100715,0,4,0
20100716,0,5,0
20100717,0,6,1
20100718,0,7,1
20100719,0,1,0
20100720,0,2,0
20100721,0,3,0
20100722,0,4,0
20100723,0,5,0
20100724,0,6,1
20100725,0,7,1
20100726,0,1,0
20100727,0,2,0
20100728,0,3,0
20100729,0,4,0
20100730,0,5,0
20100731,0,6,1
20100801,0,7,1
20100802,0,1,0
20100803,0,2,0
20100804,0,3,0
20100805,0,4,0
20100806,0,5,0
20100807,0,6,1
20100808,0,7,1
20100809,0,1,0
20100810,0,2,0
20100811,0,3,0
20100812,0,4,0
20100813,0,5,0
20100814,0,6,1
20100815,0,7,1
20100816,0,1,0
20100817,0,2,0
20100818,0,3,0
20100819,0,4,0
20100820,0,5,0
20100821,0,6,1
20100822,0,7,1
20100823,0,1,0
20100824,0,2,0
20100825,0,3,0
20100826,0,4,0
20100827,0,5,0
20100828,0,6,1
20100829,0,7,1
20100830,0,1,0
20100831,0,2,0
20100901,0,3,0
20100902,0,4,0
20100903,0,5,0
20100904,0,6,1
20100905,0,7,1
20100906,0,1,0
20100907,0,2,0
20100908,0,3,0
20100909,0,4,0
20100910,0,5,0
20100911,0,6,1
20100912,0,7,1
20100913,0,1,0
20100914,0,2,0
20100915,0,3,0
20100916,0,4,0
20100917,0,5,0
20100918,0,6,1
20100919,0,7,0
20100920,0,1,0
20100921,0,2,0
20100922,1,3,0
20100923,1,4,0
20100924,1,5,0
20100925,0,6,0
20100926,0,7,0
20100927,0,1,0
20100928,0,2,0
20100929,0,3,0
20100930,0,4,0
20101001,1,5,0
20101002,1,6,1
20101003,1,7,1
20101004,1,1,0
20101005,1,2,0
20101006,1,3,0
20101007,1,4,0
20101008,0,5,0
20101009,0,6,0
20101010,0,7,1
20101011,0,1,0
20101012,0,2,0
20101013,0,3,0
20101014,0,4,0
20101015,0,5,0
20101016,0,6,1
20101017,0,7,1
20101018,0,1,0
20101019,0,2,0
20101020,0,3,0
20101021,0,4,0
20101022,0,5,0
20101023,0,6,1
20101024,0,7,1
20101025,0,1,0
20101026,0,2,0
20101027,0,3,0
20101028,0,4,0
20101029,0,5,0
20101030,0,6,1
20101031,0,7,1
20101101,0,1,0
20101102,0,2,0
20101103,0,3,0
20101104,0,4,0
20101105,0,5,0
20101106,0,6,1
20101107,0,7,1
20101108,0,1,0
20101109,0,2,0
20101110,0,3,0
20101111,0,4,0
20101112,0,5,0
20101113,0,6,1
20101114,0,7,1
20101115,0,1,0
20101116,0,2,0
20101117,0,3,0
20101118,0,4,0
20101119,0,5,0
20101120,0,6,1
20101121,0,7,1
20101122,0,1,0
20101123,0,2,0
20101124,0,3,0
20101125,0,4,0
20101126,0,5,0
20101127,0,6,1
20101128,0,7,1
20101129,0,1,0
20101130,0,2,0
20101201,0,3,0
20101202,0,4,0
20101203,0,5,0
20101204,0,6,1
20101205,0,7,1
20101206,0,1,0
20101207,0,2,0
20101208,0,3,0
20101209,0,4,0
20101210,0,5,0
20101211,0,6,1
20101212,0,7,1
20101213,0,1,0
20101214,0,2,0
20101215,0,3,0
20101216,0,4,0
20101217,0,5,0
20101218,0,6,1
20101219,0,7,1
20101220,0,1,0
20101221,0,2,0
20101222,0,3,0
20101223,0,4,0
20101224,0,5,0
20101225,0,6,1
20101226,0,7,1
20101227,0,1,0
20101228,0,2,0
20101229,0,3,0
20101230,0,4,0
20101231,0,5,0
20110101,1,6,1
20110102,1,7,1
20110103,1,1,0
20110104,0,2,0
20110105,0,3,0
20110106,0,4,0
20110107,0,5,0
20110108,0,6,1
20110109,0,7,1
20110110,0,1,0
20110111,0,2,0
20110112,0,3,0
20110113,0,4,0
20110114,0,5,0
20110115,0,6,1
20110116,0,7,1
20110117,0,1,0
20110118,0,2,0
20110119,0,3,0
20110120,0,4,0
20110121,0,5,0
20110122,0,6,1
20110123,0,7,1
20110124,0,1,0
20110125,0,2,0
20110126,0,3,0
20110127,0,4,0
20110128,0,5,0
20110129,0,6,1
20110130,0,7,0
20110131,0,1,0
20110201,0,2,0
20110202,1,3,0
20110203,1,4,0
20110204,1,5,0
20110205,1,6,1
20110206,1,7,1
20110207,1,1,0
20110208,1,2,0
20110209,0,3,0
20110210,0,4,0
20110211,0,5,0
20110212,0,6,0
20110213,0,7,1
20110214,0,1,0
20110215,0,2,0
20110216,0,3,0
20110217,0,4,0
20110218,0,5,0
20110219,0,6,1
20110220,0,7,1
20110221,0,1,0
20110222,0,2,0
20110223,0,3,0
20110224,0,4,0
20110225,0,5,0
20110226,0,6,1
20110227,0,7,1
20110228,0,1,0
20110301,0,2,0
20110302,0,3,0
20110303,0,4,0
20110304,0,5,0
20110305,0,6,1
20110306,0,7,1
20110307,0,1,0
20110308,0,2,0
20110309,0,3,0
20110310,0,4,0
20110311,0,5,0
20110312,0,6,1
20110313,0,7,1
20110314,0,1,0
20110315,0,2,0
20110316,0,3,0
20110317,0,4,0
20110318,0,5,0
20110319,0,6,1
20110320,0,7,1
20110321,0,1,0
20110322,0,2,0
20110323,0,3,0
20110324,0,4,0
20110325,0,5,0
20110326,0,6,1
20110327,0,7,1
20110328,0,1,0
20110329,0,2,0
20110330,0,3,0
20110331,0,4,0
20110401,0,5,0
20110402,0,6,0
20110403,1,7,1
20110404,1,1,0
20110405,1,2,0
20110406,0,3,0
20110407,0,4,0
20110408,0,5,0
20110409,0,6,1
20110410,0,7,1
20110411,0,1,0
20110412,0,2,0
20110413,0,3,0
20110414,0,4,0
20110415,0,5,0
20110416,0,6,1
20110417,0,7,1
20110418,0,1,0
20110419,0,2,0
20110420,0,3,0
20110421,0,4,0
20110422,0,5,0
20110423,0,6,1
20110424,0,7,1
20110425,0,1,0
20110426,0,2,0
20110427,0,3,0
20110428,0,4,0
20110429,0,5,0
20110430,1,6,1
20110501,1,7,1
20110502,1,1,0
20110503,0,2,0
20110504,0,3,0
20110505,0,4,0
20110506,0,5,0
20110507,0,6,1
20110508,0,7,1
20110509,0,1,0
20110510,0,2,0
20110511,0,3,0
20110512,0,4,0
20110513,0,5,0
20110514,0,6,1
20110515,0,7,1
20110516,0,1,0
20110517,0,2,0
20110518,0,3,0
20110519,0,4,0
20110520,0,5,0
20110521,0,6,1
20110522,0,7,1
20110523,0,1,0
20110524,0,2,0
20110525,0,3,0
20110526,0,4,0
20110527,0,5,0
20110528,0,6,1
20110529,0,7,1
20110530,0,1,0
20110531,0,2,0
20110601,0,3,0
20110602,0,4,0
20110603,0,5,0
20110604,1,6,1
20110605,1,7,1
20110606,1,1,0
20110607,0,2,0
20110608,0,3,0
20110609,0,4,0
20110610,0,5,0
20110611,0,6,1
20110612,0,7,1
20110613,0,1,0
20110614,0,2,0
20110615,0,3,0
20110616,0,4,0
20110617,0,5,0
20110618,0,6,1
20110619,0,7,1
20110620,0,1,0
20110621,0,2,0
20110622,0,3,0
20110623,0,4,0
20110624,0,5,0
20110625,0,6,1
20110626,0,7,1
20110627,0,1,0
20110628,0,2,0
20110629,0,3,0
20110630,0,4,0
20110701,0,5,0
20110702,0,6,1
20110703,0,7,1
20110704,0,1,0
20110705,0,2,0
20110706,0,3,0
20110707,0,4,0
20110708,0,5,0
20110709,0,6,1
20110710,0,7,1
20110711,0,1,0
20110712,0,2,0
20110713,0,3,0
20110714,0,4,0
20110715,0,5,0
20110716,0,6,1
20110717,0,7,1
20110718,0,1,0
20110719,0,2,0
20110720,0,3,0
20110721,0,4,0
20110722,0,5,0
20110723,0,6,1
20110724,0,7,1
20110725,0,1,0
20110726,0,2,0
20110727,0,3,0
20110728,0,4,0
20110729,0,5,0
20110730,0,6,1
20110731,0,7,1
20110801,0,1,0
20110802,0,2,0
20110803,0,3,0
20110804,0,4,0
20110805,0,5,0
20110806,0,6,1
20110807,0,7,1
20110808,0,1,0
20110809,0,2,0
20110810,0,3,0
20110811,0,4,0
20110812,0,5,0
20110813,0,6,1
20110814,0,7,1
20110815,0,1,0
20110816,0,2,0
20110817,0,3,0
20110818,0,4,0
20110819,0,5,0
20110820,0,6,1
20110821,0,7,1
20110822,0,1,0
20110823,0,2,0
20110824,0,3,0
20110825,0,4,0
20110826,0,5,0
20110827,0,6,1
20110828,0,7,1
20110829,0,1,0
20110830,0,2,0
20110831,0,3,0
20110901,0,4,0
20110902,0,5,0
20110903,0,6,1
20110904,0,7,1
20110905,0,1,0
20110906,0,2,0
20110907,0,3,0
20110908,0,4,0
20110909,0,5,0
20110910,1,6,1
20110911,1,7,1
20110912,1,1,0
20110913,0,2,0
20110914,0,3,0
20110915,0,4,0
20110916,0,5,0
20110917,0,6,1
20110918,0,7,1
20110919,0,1,0
20110920,0,2,0
20110921,0,3,0
20110922,0,4,0
20110923,0,5,0
20110924,0,6,1
20110925,0,7,1
20110926,0,1,0
20110927,0,2,0
20110928,0,3,0
20110929,0,4,0
20110930,0,5,0
20111001,1,6,1
20111002,1,7,1
20111003,1,1,0
20111004,1,2,0
20111005,1,3,0
20111006,1,4,0
20111007,1,5,0
20111008,0,6,0
20111009,0,7,0
20111010,0,1,0
20111011,0,2,0
20111012,0,3,0
20111013,0,4,0
20111014,0,5,0
20111015,0,6,1
20111016,0,7,1
20111017,0,1,0
20111018,0,2,0
20111019,0,3,0
20111020,0,4,0
20111021,0,5,0
20111022,0,6,1
20111023,0,7,1
20111024,0,1,0
20111025,0,2,0
20111026,0,3,0
20111027,0,4,0
20111028,0,5,0
20111029,0,6,1
20111030,0,7,1
20111031,0,1,0
20111101,0,2,0
20111102,0,3,0
20111103,0,4,0
20111104,0,5,0
20111105,0,6,1
20111106,0,7,1
20111107,0,1,0
20111108,0,2,0
20111109,0,3,0
20111110,0,4,0
20111111,0,5,0
20111112,0,6,1
20111113,0,7,1
20111114,0,1,0
20111115,0,2,0
20111116,0,3,0
20111117,0,4,0
20111118,0,5,0
20111119,0,6,1
20111120,0,7,1
20111121,0,1,0
20111122,0,2,0
20111123,0,3,0
20111124,0,4,0
20111125,0,5,0
20111126,0,6,1
20111127,0,7,1
20111128,0,1,0
20111129,0,2,0
20111130,0,3,0
20111201,0,4,0
20111202,0,5,0
20111203,0,6,1
20111204,0,7,1
20111205,0,1,0
20111206,0,2,0
20111207,0,3,0
20111208,0,4,0
20111209,0,5,0
20111210,0,6,1
20111211,0,7,1
20111212,0,1,0
20111213,0,2,0
20111214,0,3,0
20111215,0,4,0
20111216,0,5,0
20111217,0,6,1
20111218,0,7,1
20111219,0,1,0
20111220,0,2,0
20111221,0,3,0
20111222,0,4,0
20111223,0,5,0
20111224,0,6,1
20111225,0,7,1
20111226,0,1,0
20111227,0,2,0
20111228,0,3,0
20111229,0,4,0
20111230,0,5,0
20111231,0,6,0
20120101,1,7,1
20120102,1,1,0
20120103,1,2,0
20120104,0,3,0
20120105,0,4,0
20120106,0,5,0
20120107,0,6,1
20120108,0,7,1
20120109,0,1,0
20120110,0,2,0
20120111,0,3,0
20120112,0,4,0
20120113,0,5,0
20120114,0,6,1
20120115,0,7,1
20120116,0,1,0
20120117,0,2,0
20120118,0,3,0
20120119,0,4,0
20120120,0,5,0
20120121,0,6,0
20120122,1,7,1
20120123,1,1,0
20120124,1,2,0
20120125,1,3,0
20120126,1,4,0
20120127,1,5,0
20120128,1,6,1
20120129,0,7,0
20120130,0,1,0
20120131,0,2,0
20120201,0,3,0
20120202,0,4,0
20120203,0,5,0
20120204,0,6,1
20120205,0,7,1
20120206,0,1,0
20120207,0,2,0
20120208,0,3,0
20120209,0,4,0
20120210,0,5,0
20120211,0,6,1
20120212,0,7,1
20120213,0,1,0
20120214,0,2,0
20120215,0,3,0
20120216,0,4,0
20120217,0,5,0
20120218,0,6,1
20120219,0,7,1
20120220,0,1,0
20120221,0,2,0
20120222,0,3,0
20120223,0,4,0
20120224,0,5,0
20120225,0,6,1
20120226,0,7,1
20120227,0,1,0
20120228,0,2,0
20120229,0,3,0
20120301,0,4,0
20120302,0,5,0
20120303,0,6,1
20120304,0,7,1
20120305,0,1,0
20120306,0,2,0
20120307,0,3,0
20120308,0,4,0
20120309,0,5,0
20120310,0,6,1
20120311,0,7,1
20120312,0,1,0
20120313,0,2,0
20120314,0,3,0
20120315,0,4,0
20120316,0,5,0
20120317,0,6,1
20120318,0,7,1
20120319,0,1,0
20120320,0,2,0
20120321,0,3,0
20120322,0,4,0
20120323,0,5,0
20120324,0,6,1
20120325,0,7,1
20120326,0,1,0
20120327,0,2,0
20120328,0,3,0
20120329,0,4,0
20120330,0,5,0
20120331,0,6,0
20120401,0,7,0
20120402,1,1,0
20120403,1,2,0
20120404,1,3,0
20120405,0,4,0
20120406,0,5,0
20120407,0,6,1
20120408,0,7,1
20120409,0,1,0
20120410,0,2,0
20120411,0,3,0
20120412,0,4,0
20120413,0,5,0
20120414,0,6,1
20120415,0,7,1
20120416,0,1,0
20120417,0,2,0
20120418,0,3,0
20120419,0,4,0
20120420,0,5,0
20120421,0,6,1
20120422,0,7,1
20120423,0,1,0
20120424,0,2,0
20120425,0,3,0
20120426,0,4,0
20120427,0,5,0
20120428,0,6,0
20120429,1,7,1
20120430,1,1,0
20120501,1,2,0
20120502,0,3,0
20120503,0,4,0
20120504,0,5,0
20120505,0,6,1
20120506,0,7,1
20120507,0,1,0
20120508,0,2,0
20120509,0,3,0
20120510,0,4,0
20120511,0,5,0
20120512,0,6,1
20120513,0,7,1
20120514,0,1,0
20120515,0,2,0
20120516,0,3,0
20120517,0,4,0
20120518,0,5,0
20120519,0,6,1
20120520,0,7,1
20120521,0,1,0
20120522,0,2,0
20120523,0,3,0
20120524,0,4,0
20120525,0,5,0
20120526,0,6,1
20120527,0,7,1
20120528,0,1,0
20120529,0,2,0
20120530,0,3,0
20120531,0,4,0
20120601,0,5,0
20120602,0,6,1
20120603,0,7,1
20120604,0,1,0
20120605,0,2,0
20120606,0,3,0
20120607,0,4,0
20120608,0,5,0
20120609,0,6,1
20120610,0,7,1
20120611,0,1,0
20120612,0,2,0
20120613,0,3,0
20120614,0,4,0
20120615,0,5,0
20120616,0,6,1
20120617,0,7,1
20120618,0,1,0
20120619,0,2,0
20120620,0,3,0
20120621,0,4,0
20120622,1,5,0
20120623,1,6,1
20120624,1,7,1
20120625,0,1,0
20120626,0,2,0
20120627,0,3,0
20120628,0,4,0
20120629,0,5,0
20120630,0,6,1
20120701,0,7,1
20120702,0,1,0
20120703,0,2,0
20120704,0,3,0
20120705,0,4,0
20120706,0,5,0
20120707,0,6,1
20120708,0,7,1
20120709,0,1,0
20120710,0,2,0
20120711,0,3,0
20120712,0,4,0
20120713,0,5,0
20120714,0,6,1
20120715,0,7,1
20120716,0,1,0
20120717,0,2,0
20120718,0,3,0
20120719,0,4,0
20120720,0,5,0
20120721,0,6,1
20120722,0,7,1
20120723,0,1,0
20120724,0,2,0
20120725,0,3,0
20120726,0,4,0
20120727,0,5,0
20120728,0,6,1
20120729,0,7,1
20120730,0,1,0
20120731,0,2,0
20120801,0,3,0
20120802,0,4,0
20120803,0,5,0
20120804,0,6,1
20120805,0,7,1
20120806,0,1,0
20120807,0,2,0
20120808,0,3,0
20120809,0,4,0
20120810,0,5,0
20120811,0,6,1
20120812,0,7,1
20120813,0,1,0
20120814,0,2,0
20120815,0,3,0
20120816,0,4,0
20120817,0,5,0
20120818,0,6,1
20120819,0,7,1
20120820,0,1,0
20120821,0,2,0
20120822,0,3,0
20120823,0,4,0
20120824,0,5,0
20120825,0,6,1
20120826,0,7,1
20120827,0,1,0
20120828,0,2,0
20120829,0,3,0
20120830,0,4,0
20120831,0,5,0
20120901,0,6,1
20120902,0,7,1
20120903,0,1,0
20120904,0,2,0
20120905,0,3,0
20120906,0,4,0
20120907,0,5,0
20120908,0,6,1
20120909,0,7,1
20120910,0,1,0
20120911,0,2,0
20120912,0,3,0
20120913,0,4,0
20120914,0,5,0
20120915,0,6,1
20120916,0,7,1
20120917,0,1,0
20120918,0,2,0
20120919,0,3,0
20120920,0,4,0
20120921,0,5,0
20120922,0,6,1
20120923,0,7,1
20120924,0,1,0
20120925,0,2,0
20120926,0,3,0
20120927,0,4,0
20120928,0,5,0
20120929,0,6,0
20120930,1,7,1
20121001,1,1,0
20121002,1,2,0
20121003,1,3,0
20121004,1,4,0
20121005,1,5,0
20121006,1,6,1
20121007,1,7,1
20121008,0,1,0
20121009,0,2,0
20121010,0,3,0
20121011,0,4,0
20121012,0,5,0
20121013,0,6,1
20121014,0,7,1
20121015,0,1,0
20121016,0,2,0
20121017,0,3,0
20121018,0,4,0
20121019,0,5,0
20121020,0,6,1
20121021,0,7,1
20121022,0,1,0
20121023,0,2,0
20121024,0,3,0
20121025,0,4,0
20121026,0,5,0
20121027,0,6,1
20121028,0,7,1
