,date,holiday,weekday,weekend
864,20110515,0,7,1
865,20110516,0,1,0
866,20110517,0,2,0
867,20110518,0,3,0
868,20110519,0,4,0
869,20110520,0,5,0
870,20110521,0,6,1
871,20110522,0,7,1
872,20110523,0,1,0
873,20110524,0,2,0
874,20110525,0,3,0
875,20110526,0,4,0
876,20110527,0,5,0
877,20110528,0,6,1
878,20110529,0,7,1
879,20110530,0,1,0
880,20110531,0,2,0
881,20110601,0,3,0
882,20110602,0,4,0
883,20110603,0,5,0
884,20110604,1,6,1
885,20110605,1,7,1
886,20110606,1,1,0
887,20110607,0,2,0
888,20110608,0,3,0
889,20110609,0,4,0
890,20110610,0,5,0
891,20110611,0,6,1
892,20110612,0,7,1
893,20110613,0,1,0
894,20110614,0,2,0
895,20110615,0,3,0
896,20110616,0,4,0
897,20110617,0,5,0
898,20110618,0,6,1
899,20110619,0,7,1
900,20110620,0,1,0
901,20110621,0,2,0
902,20110622,0,3,0
903,20110623,0,4,0
904,20110624,0,5,0
905,20110625,0,6,1
906,20110626,0,7,1
907,20110627,0,1,0
908,20110628,0,2,0
909,20110629,0,3,0
910,20110630,0,4,0
911,20110701,0,5,0
912,20110702,0,6,1
913,20110703,0,7,1
914,20110704,0,1,0
915,20110705,0,2,0
916,20110706,0,3,0
917,20110707,0,4,0
918,20110708,0,5,0
919,20110709,0,6,1
920,20110710,0,7,1
921,20110711,0,1,0
922,20110712,0,2,0
923,20110713,0,3,0
924,20110714,0,4,0
925,20110715,0,5,0
926,20110716,0,6,1
927,20110717,0,7,1
928,20110718,0,1,0
929,20110719,0,2,0
930,20110720,0,3,0
931,20110721,0,4,0
932,20110722,0,5,0
933,20110723,0,6,1
934,20110724,0,7,1
935,20110725,0,1,0
936,20110726,0,2,0
937,20110727,0,3,0
938,20110728,0,4,0
939,20110729,0,5,0
940,20110730,0,6,1
941,20110731,0,7,1
942,20110801,0,1,0
943,20110802,0,2,0
944,20110803,0,3,0
945,20110804,0,4,0
946,20110805,0,5,0
947,20110806,0,6,1
948,20110807,0,7,1
949,20110808,0,1,0
950,20110809,0,2,0
951,20110810,0,3,0
952,20110811,0,4,0
953,20110812,0,5,0
954,20110813,0,6,1
955,20110814,0,7,1
956,20110815,0,1,0
957,20110816,0,2,0
958,20110817,0,3,0
959,20110818,0,4,0
960,20110819,0,5,0
961,20110820,0,6,1
962,20110821,0,7,1
963,20110822,0,1,0
964,20110823,0,2,0
965,20110824,0,3,0
966,20110825,0,4,0
967,20110826,0,5,0
968,20110827,0,6,1
969,20110828,0,7,1
970,20110829,0,1,0
971,20110830,0,2,0
972,20110831,0,3,0
973,20110901,0,4,0
974,20110902,0,5,0
975,20110903,0,6,1
976,20110904,0,7,1
977,20110905,0,1,0
978,20110906,0,2,0
979,20110907,0,3,0
980,20110908,0,4,0
981,20110909,0,5,0
982,20110910,1,6,1
983,20110911,1,7,1
984,20110912,1,1,0
985,20110913,0,2,0
986,20110914,0,3,0
987,20110915,0,4,0
988,20110916,0,5,0
989,20110917,0,6,1
990,20110918,0,7,1
991,20110919,0,1,0
992,20110920,0,2,0
993,20110921,0,3,0
994,20110922,0,4,0
995,20110923,0,5,0
996,20110924,0,6,1
997,20110925,0,7,1
998,20110926,0,1,0
999,20110927,0,2,0
1000,20110928,0,3,0
1001,20110929,0,4,0
1002,20110930,0,5,0
1003,20111001,1,6,1
1004,20111002,1,7,1
1005,20111003,1,1,0
1006,20111004,1,2,0
1007,20111005,1,3,0
1008,20111006,1,4,0
1009,20111007,1,5,0
1010,20111008,0,6,0
1011,20111009,0,7,0
1012,20111010,0,1,0
1013,20111011,0,2,0
1014,20111012,0,3,0
1015,20111013,0,4,0
1016,20111014,0,5,0
1017,20111015,0,6,1
1018,20111016,0,7,1
1019,20111017,0,1,0
1020,20111018,0,2,0
1021,20111019,0,3,0
1022,20111020,0,4,0
1023,20111021,0,5,0
1024,20111022,0,6,1
1025,20111023,0,7,1
1026,20111024,0,1,0
1027,20111025,0,2,0
1028,20111026,0,3,0
1029,20111027,0,4,0
1030,20111028,0,5,0
1031,20111029,0,6,1
1032,20111030,0,7,1
1033,20111031,0,1,0
1034,20111101,0,2,0
1035,20111102,0,3,0
1036,20111103,0,4,0
1037,20111104,0,5,0
1038,20111105,0,6,1
1039,20111106,0,7,1
1040,20111107,0,1,0
1041,20111108,0,2,0
1042,20111109,0,3,0
1043,20111110,0,4,0
1044,20111111,0,5,0
1045,20111112,0,6,1
1046,20111113,0,7,1
1047,20111114,0,1,0
1048,20111115,0,2,0
1049,20111116,0,3,0
1050,20111117,0,4,0
1051,20111118,0,5,0
1052,20111119,0,6,1
1053,20111120,0,7,1
1054,20111121,0,1,0
1055,20111122,0,2,0
1056,20111123,0,3,0
1057,20111124,0,4,0
1058,20111125,0,5,0
1059,20111126,0,6,1
1060,20111127,0,7,1
1061,20111128,0,1,0
1062,20111129,0,2,0
1063,20111130,0,3,0
1064,20111201,0,4,0
1065,20111202,0,5,0
1066,20111203,0,6,1
1067,20111204,0,7,1
1068,20111205,0,1,0
1069,20111206,0,2,0
1070,20111207,0,3,0
1071,20111208,0,4,0
1072,20111209,0,5,0
1073,20111210,0,6,1
1074,20111211,0,7,1
1075,20111212,0,1,0
1076,20111213,0,2,0
1077,20111214,0,3,0
1078,20111215,0,4,0
1079,20111216,0,5,0
1080,20111217,0,6,1
1081,20111218,0,7,1
1082,20111219,0,1,0
1083,20111220,0,2,0
1084,20111221,0,3,0
1085,20111222,0,4,0
1086,20111223,0,5,0
1087,20111224,0,6,1
1088,20111225,0,7,1
1089,20111226,0,1,0
1090,20111227,0,2,0
1091,20111228,0,3,0
1092,20111229,0,4,0
1093,20111230,0,5,0
1094,20111231,0,6,0
1095,20120101,1,7,1
1096,20120102,1,1,0
1097,20120103,1,2,0
1098,20120104,0,3,0
1099,20120105,0,4,0
1100,20120106,0,5,0
1101,20120107,0,6,1
1102,20120108,0,7,1
1103,20120109,0,1,0
1104,20120110,0,2,0
1105,20120111,0,3,0
1106,20120112,0,4,0
1107,20120113,0,5,0
1108,20120114,0,6,1
1109,20120115,0,7,1
1110,20120116,0,1,0
1111,20120117,0,2,0
1112,20120118,0,3,0
1113,20120119,0,4,0
1114,20120120,0,5,0
1115,20120121,0,6,0
1116,20120122,1,7,1
1117,20120123,1,1,0
1118,20120124,1,2,0
1119,20120125,1,3,0
1120,20120126,1,4,0
1121,20120127,1,5,0
1122,20120128,1,6,1
1123,20120129,0,7,0
1124,20120130,0,1,0
1125,20120131,0,2,0
1126,20120201,0,3,0
1127,20120202,0,4,0
1128,20120203,0,5,0
1129,20120204,0,6,1
1130,20120205,0,7,1
1131,20120206,0,1,0
1132,20120207,0,2,0
1133,20120208,0,3,0
1134,20120209,0,4,0
1135,20120210,0,5,0
1136,20120211,0,6,1
1137,20120212,0,7,1
1138,20120213,0,1,0
1139,20120214,0,2,0
1140,20120215,0,3,0
1141,20120216,0,4,0
1142,20120217,0,5,0
1143,20120218,0,6,1
1144,20120219,0,7,1
1145,20120220,0,1,0
1146,20120221,0,2,0
1147,20120222,0,3,0
1148,20120223,0,4,0
1149,20120224,0,5,0
1150,20120225,0,6,1
