date,max_temp,min_temp,weather,wind_direction,wind_speed
2011-05-16,29,18,多云,南风,3-4级
2011-05-17,31,20,晴~多云,南风,3-4级~4-5级
2011-05-18,32,21,多云~晴,南风,5-6级~4-5级
2011-05-19,33,22,晴,南风,4-5级
2011-05-20,34,22,晴~多云,东南风,3-4级
2011-05-21,26,18,阴~阵雨,西北风~东北风,3-4级
2011-05-22,20,16,阵雨~中雨,东北风,4-5级
2011-05-23,18,16,小雨~阴,东北风,4-5级
2011-05-24,24,16,多云,东风,3-4级
2011-05-25,24,18,多云~阴,北风,3-4级
2011-05-26,25,18,多云,西北风~北风,3-4级
2011-05-27,26,18,多云,北风~东北风,3-4级
2011-05-28,21,18,阴~多云,东北风,3-4级~4-5级
2011-05-29,27,18,晴,北风~西北风,4-5级~3-4级
2011-05-30,31,20,多云,南风,4-5级
2011-05-31,31,21,阴~阵雨,南风,3-4级
2011-06-01,29,20,多云,南风,3-4级
2011-06-02,32,21,多云,东南风,3-4级
2011-06-03,31,21,多云~阴,南风~东南风,3-4级
2011-06-04,24,20,中到大雨,东南风~南风,3-4级
2011-06-05,24,20,小雨,东北风~东风,4-5级~3-4级
2011-06-06,21,19,中雨,东风,3-4级
2011-06-07,26,20,小雨~多云,东风~东南风,3-4级
2011-06-08,31,23,多云,南风,3-4级~4-5级
2011-06-09,36,23,多云~雷阵雨,南风,3-4级
2011-06-10,27,22,大雨,西南风,3-4级
2011-06-11,24,21,中雨~大雨,东北风,3-4级
2011-06-12,27,21,阴~多云,东北风~东南风,3-4级
2011-06-13,28,21,阵雨,东风,3-4级
2011-06-14,24,20,阵雨~大雨,东风~东南风,3-4级~4-5级
2011-06-15,21,19,大到暴雨~小到中雨,东风~东北风,4-5级
2011-06-16,25,20,阴~阵雨,北风~东风,3-4级
2011-06-17,24,21,中雨,东南风~东风,3-4级
2011-06-18,25,21,大到暴雨,东北风,3-4级
2011-06-19,23,20,小到中雨~阴,东风~东北风,4-5级~3-4级
2011-06-20,28,22,多云~阵雨,东风~东南风,3-4级
2011-06-21,26,23,雷阵雨~阵雨,东南风~南风,4-5级
2011-06-22,32,25,雷阵雨,东南风,4-5级
2011-06-23,33,24,多云~阴,南风~西南风,4-5级
2011-06-24,34,25,雷阵雨,南风,3-4级
2011-06-25,30,23,大到暴雨,北风~西北风,5-6级~6-7级
2011-06-26,29,23,阴~多云,西风~西南风,6-7级~4-5级
2011-06-27,32,24,多云~阴,西南风~南风,4-5级~3-4级
2011-06-28,33,25,多云,东南风,4-5级
2011-06-29,32,26,雷阵雨~阵雨,南风,4-5级
2011-06-30,32,26,雷阵雨~多云,南风,4-5级~3-4级
2011-07-01,33,26,阵雨~多云,南风,3-4级
2011-07-02,36,28,雷阵雨~多云,西南风,3-4级
2011-07-03,37,29,多云,西南风,3-4级
2011-07-04,36,27,雷阵雨,西风~东风,3-4级
2011-07-05,31,27,雷阵雨~阵雨,东南风~南风,3-4级
2011-07-06,36,29,多云,西南风,3-4级
2011-07-07,37,27,多云,西南风,3-4级
2011-07-08,33,26,雷阵雨,南风,3-4级
2011-07-09,31,26,阵雨~多云,东风~东南风,3-4级
2011-07-10,32,26,阵雨~多云,东南风,4-5级
2011-07-11,32,26,阴,东南风,4-5级
2011-07-12,31,26,阵雨,东南风,4-5级
2011-07-13,32,27,阵雨,东南风,4-5级
2011-07-14,32,27,阵雨~多云,南风,4-5级
2011-07-15,32,27,雷阵雨,北风~东南风,3-4级~4-5级
2011-07-16,34,27,多云,南风~东南风,4-5级
2011-07-17,33,27,阵雨~多云,东南风,4-5级
2011-07-18,33,26,多云,东风~东北风,3-4级
2011-07-19,33,26,多云~阵雨,北风,3-4级
2011-07-20,34,27,雷阵雨~多云,西北风~东南风,3-4级
2011-07-21,34,28,多云,东南风,3-4级
2011-07-22,35,27,雷阵雨~多云,东南风,3-4级
2011-07-23,36,28,多云,东风~东南风,3-4级
2011-07-24,35,28,雷阵雨~多云,东南风,3-4级
2011-07-25,36,28,多云,南风,3-4级
2011-07-26,37,28,雷阵雨~多云,南风,4-5级
2011-07-27,37,28,多云,南风,4-5级
2011-07-28,36,28,晴,南风,4-5级
2011-07-29,37,28,晴,南风,3-4级
2011-07-30,37,28,多云,南风,3-4级
2011-07-31,36,28,雷阵雨,南风~东南风,3-4级
2011-08-01,33,28,雷阵雨,东北风~东风,3-4级
2011-08-02,34,28,多云,东南风,3-4级
2011-08-03,35,27,雷阵雨,东南风,4-5级
2011-08-04,33,26,雷阵雨~多云,东风~东北风,3-4级
2011-08-05,32,25,多云,东北风,4-5级
2011-08-06,32,25,阵雨~暴雨,东北风,5-6级~8-9级
2011-08-07,28,26,中雨~阵雨,北风~西南风,8-9级~7-8级
2011-08-08,34,27,阵雨~多云,西南风,3-4级
2011-08-09,34,27,雷阵雨~多云,南风,3-4级
2011-08-10,36,28,多云,南风,3-4级
2011-08-11,34,26,雷阵雨~阵雨,西南风,3-4级
2011-08-12,32,26,雷阵雨~阵雨,西南风,3-4级
2011-08-13,35,27,雷阵雨~多云,西南风,4-5级
2011-08-14,32,27,雷阵雨~多云,西南风,4-5级
2011-08-15,34,27,雷阵雨~多云,西南风,4-5级
2011-08-16,35,28,雷阵雨~多云,西南风,3-4级
2011-08-17,30,25,大雨~雷阵雨,西风~东北风,3-4级
2011-08-18,33,27,雷阵雨~多云,北风~南风,3-4级
2011-08-19,34,27,雷阵雨~多云,东南风,3-4级
2011-08-20,36,27,雷阵雨~多云,东南风,3-4级
2011-08-21,31,26,雷阵雨,东北风,3-4级
2011-08-22,29,24,中到大雨,南风~北风,3-4级
2011-08-23,28,24,阵雨,东北风,3-4级
2011-08-24,26,22,阵雨,北风~东北风,3-4级
2011-08-25,26,23,中雨~阵雨,东北风,3-4级
2011-08-26,28,24,中到大雨,东北风,3-4级
2011-08-27,30,25,雷阵雨~多云,东风,3-4级
2011-08-28,31,26,阴~多云,东南风~东风,3-4级
2011-08-29,31,25,多云,东南风~东风,3-4级
2011-08-30,31,25,阵雨~多云,东风,4-5级
2011-08-31,32,25,多云,东风~东北风,4-5级
2011-09-01,32,24,晴,东北风,3-4级
2011-09-02,32,23,晴~多云,北风,4-5级
2011-09-03,31,23,晴,北风,3-4级
2011-09-04,30,22,晴~多云,北风,3-4级
2011-09-05,30,22,多云,北风,4-5级~3-4级
2011-09-06,28,23,多云,东北风~东风,3-4级
2011-09-07,29,25,多云~阴,东风~东南风,3-4级
2011-09-08,33,25,多云,西南风~南风,3-4级
2011-09-09,27,24,阵雨,东北风~东风,3-4级
2011-09-10,25,23,阵雨,东北风,3-4级
2011-09-11,29,23,多云,东北风,3-4级
2011-09-12,31,24,多云,东风,3-4级
2011-09-13,31,25,多云,东风~东南风,3-4级
2011-09-14,33,25,多云,东南风,3-4级
2011-09-15,33,25,多云~晴,东南风~东风,3-4级
2011-09-16,33,24,多云~阴,东北风,3-4级
2011-09-17,30,22,多云~阵雨,北风,4-5级
2011-09-18,27,20,多云~阴,北风,4-5级
2011-09-19,25,19,多云~阴,北风,4-5级
2011-09-20,21,17,阵雨~阴,西北风,4-5级
2011-09-21,23,16,晴,西北风,4-5级
2011-09-22,24,16,多云~晴,西北风~北风,3-4级
2011-09-23,26,18,晴,东北风,3-4级
2011-09-24,27,20,晴~多云,东北风,3-4级
2011-09-25,27,22,多云~阴,东北风~东风,3-4级
2011-09-26,27,23,阵雨,东北风,3-4级
2011-09-27,28,23,阴~阵雨,东北风,3-4级
2011-09-28,28,24,阴,东风,3-4级
2011-09-29,30,18,中雨,东南风~北风,3-4级~4-5级
2011-09-30,22,18,小雨~阴,北风,4-5级
2011-10-01,22,18,阴~小雨,东北风,4-5级
2011-10-02,21,17,小雨~阴,东北风,4-5级
2011-10-03,21,17,阴,东北风,4-5级
2011-10-04,23,18,多云~阴,东北风,3-4级
2011-10-05,23,18,多云,东北风,3-4级
2011-10-06,24,17,多云,北风~东北风,3-4级
2011-10-07,25,17,晴,东北风~东风,3-4级
2011-10-08,26,18,晴,东风,3-4级
2011-10-09,27,20,多云,东南风~东风,3-4级
2011-10-10,25,21,小雨~阴,东北风,4-5级
2011-10-11,25,19,多云,东北风,3-4级~4-5级
2011-10-12,25,20,多云~小雨,东风~东南风,3-4级
2011-10-13,23,18,小到中雨,东风~西北风,3-4级
2011-10-14,22,16,阴~多云,西北风,4-5级~3-4级
2011-10-15,23,15,多云,西北风,4-5级
2011-10-16,24,15,晴,西北风~北风,3-4级
2011-10-17,25,16,晴~多云,北风~东北风,3-4级
2011-10-18,23,15,晴,东北风~东风,3-4级
2011-10-19,22,18,多云,东北风~东风,3-4级
2011-10-20,23,18,阴~小雨,东北风,3-4级
2011-10-21,21,18,小雨~阴,东北风,3-4级
2011-10-22,23,17,晴~多云,北风~东北风,3-4级
2011-10-23,24,17,多云~阵雨,东风,3-4级~4-5级
2011-10-24,20,15,中雨~小雨,北风,4-5级
2011-10-25,19,14,多云,北风,4-5级~3-4级
2011-10-26,19,16,多云,东北风,3-4级
2011-10-27,21,17,多云,东风,3-4级
2011-10-28,21,17,阴~小雨,东风,3-4级
2011-10-29,19,16,小雨,北风,3-4级
2011-10-30,21,16,多云,北风~东北风,3-4级
2011-10-31,22,17,多云,东北风,3-4级
2011-11-01,23,20,多云~阴,东风,3-4级
2011-11-02,21,20,阵雨,东北风,3-4级~4-5级
2011-11-03,24,20,多云~阵雨,东北风~东风,3-4级
2011-11-04,25,20,阵雨,东风~东南风,3-4级
2011-11-05,24,19,阵雨,东北风,3-4级
2011-11-06,20,16,小雨~阴,东北风,3-4级
2011-11-07,20,16,小雨,东北风,3-4级
2011-11-08,19,15,小雨~阵雨,东北风,3-4级~4-5级
2011-11-09,18,14,小雨,北风,3-4级
2011-11-10,16,10,小雨~多云,北风,4-5级
2011-11-11,18,10,多云,北风,3-4级
2011-11-12,20,11,多云,无持续风向~北风,微风~3-4级
2011-11-13,20,14,晴,无持续风向,微风
2011-11-14,19,13,多云,北风~东北风,3-4级
2011-11-15,20,15,多云,东风,3-4级
2011-11-16,21,18,多云~小雨,东风~东南风,4-5级
2011-11-17,23,20,阵雨,东南风,4-5级
2011-11-18,25,18,阵雨~中雨,南风,3-4级
2011-11-19,17,10,小雨~阴,北风,4-5级
2011-11-20,15,9,多云~晴,北风~东北风,4-5级~3-4级
2011-11-21,16,11,晴~多云,东北风~东风,3-4级
2011-11-22,18,10,多云,南风~西北风,3-4级~4-5级
2011-11-23,15,8,晴,西北风,4-5级~3-4级
2011-11-24,14,10,晴,东北风~东南风,3-4级
2011-11-25,18,13,多云,东南风,3-4级
2011-11-26,20,16,多云,东南风,4-5级
2011-11-27,21,15,晴~多云,南风~东南风,3-4级
2011-11-28,22,16,多云~阴,东风,3-4级
2011-11-29,21,15,阴~阵雨,东北风,3-4级
2011-11-30,18,9,小雨,东北风,4-5级
2011-12-01,11,5,阴,北风,5-6级~4-5级
2011-12-02,9,4,多云~晴,北风,4-5级
2011-12-03,10,5,晴~多云,西北风~北风,3-4级
2011-12-04,13,9,晴~多云,东北风,微风
2011-12-05,15,13,多云~小雨,东北风~东风,3-4级
2011-12-06,16,13,小雨,东风,3-4级
2011-12-07,14,10,小到中雨~小雨,东风~北风,3-4级~4-5级
2011-12-08,10,3,小雨~阴,北风,5-6级
2011-12-09,7,0,多云,北风,4-5级
2011-12-10,5,-1,晴,北风,4-5级~3-4级
2011-12-11,8,2,晴~多云,西北风~北风,3-4级
2011-12-12,10,6,晴~多云,东北风,3-4级
2011-12-13,11,6,多云,北风~东北风,3-4级
2011-12-14,13,5,晴~多云,西北风~北风,3-4级~4-5级
2011-12-15,8,3,阴~多云,北风,4-5级
2011-12-16,6,0,晴,北风,4-5级
2011-12-17,7,2,多云,东北风,3-4级
2011-12-18,8,4,多云,东北风,3-4级
2011-12-19,11,6,晴~多云,东北风,3-4级
2011-12-20,11,6,小雨,东风,3-4级
2011-12-21,11,6,阴,北风,4-5级
2011-12-22,7,1,晴~多云,东北风~西北风,4-5级
2011-12-23,7,0,晴,北风,3-4级
2011-12-24,7,1,晴,西北风,4-5级
2011-12-25,8,2,晴,西北风~北风,3-4级
2011-12-26,9,4,晴~多云,东北风,3-4级
2011-12-27,11,8,阴,东风,3-4级
2011-12-28,12,8,阴~多云,东风~东北风,3-4级
2011-12-29,12,6,多云,东北风,4-5级~3-4级
2011-12-30,10,5,多云,东北风,3-4级
2011-12-31,9,4,多云,东风~东北风,3-4级
2012-01-01,9,4,多云,北风~东北风,4-5级~3-4级
2012-01-02,8,3,多云~阴,西北风,微风~3-4级
2012-01-03,6,0,阴~多云,西北风,4-5级
2012-01-04,4,-1,晴,西北风,4-5级~3-4级
2012-01-05,5,1,多云~阴,北风,3-4级
2012-01-06,7,4,阴~多云,东北风,3-4级
2012-01-07,8,5,多云~阴,东北风,3-4级
2012-01-08,8,5,小雨,东北风,3-4级
2012-01-09,9,5,阴,东北风,3-4级
2012-01-10,9,5,阴,东北风,3-4级
2012-01-11,8,2,阴,北风,4-5级
2012-01-12,8,4,多云,东风,3-4级
2012-01-13,9,5,阴~小雨,东风,3-4级
2012-01-14,6,4,中雨,东北风,3-4级
2012-01-16,9,4,阴~多云,东北风~东风,3-4级
2012-01-17,10,5,多云~阴,东北风~东风,3-4级
2012-01-18,10,7,小雨,东风,3-4级
2012-01-19,9,6,小雨~阴,东北风,4-5级
2012-01-20,9,5,阴~小雨,北风,4-5级
2012-01-21,6,1,小雨~雨夹雪,北风,4-5级
2012-01-22,4,-1,小雪~阴,北风,4-5级
2012-01-23,4,-2,多云,北风,4-5级~3-4级
2012-01-24,4,-2,多云,北风,3-4级
2012-01-25,4,-1,晴,西北风~北风,3-4级
2012-01-26,7,-1,晴~多云,东南风~南风,3-4级
2012-01-27,9,5,小雨,东北风,3-4级
2012-01-28,8,4,小雨~阴,东北风,4-5级
2012-01-29,9,3,多云~小雨,东北风,4-5级
2012-01-30,8,2,多云,东北风,3-4级
2012-01-31,10,2,多云~晴,南风~北风,3-4级~4-5级
2012-02-01,8,0,阴~多云,北风,4-5级~3-4级
2012-02-02,3,-1,多云,北风,4-5级~3-4级
2012-02-03,5,-1,晴~多云,北风~南风,3-4级
2012-02-04,8,2,多云~小雨,东南风,3-4级
2012-02-05,10,7,阴~小到中雨,西风~东风,3-4级
2012-02-06,9,1,中雨~雨夹雪,北风,4-5级~5-6级
2012-02-07,3,-2,多云,北风,5-6级~4-5级
2012-02-08,3,-1,多云,北风,4-5级~3-4级
2012-02-09,5,0,多云~阴,北风~东北风,3-4级
2012-02-10,4,2,小雨~阴,东北风,3-4级
2012-02-11,7,3,阴~小雨,东北风~东风,3-4级
2012-02-12,8,6,小雨~小到中雨,东风~东南风,4-5级~3-4级
2012-02-13,10,7,小雨,西北风~北风,3-4级
2012-02-14,8,4,小雨~中雨,东北风,3-4级
2012-02-15,7,3,小雨,东北风,4-5级
2012-02-16,7,1,阴,北风,3-4级~4-5级
2012-02-17,8,4,小雨~中雨,东北风,3-4级
2012-02-18,6,0,晴,北风,3-4级
2012-02-19,8,2,晴,东北风~东风,微风
2012-02-20,8,4,小雨~中雨,东北风,3-4级
2012-02-21,11,8,小雨,东南风~东风,3-4级
2012-02-22,12,8,中雨~小到中雨,东南风~东北风,3-4级~4-5级
2012-02-23,10,5,阴~小雨,北风,4-5级
2012-02-24,7,4,小雨~阴,北风,3-4级
2012-02-25,6,2,雨夹雪~阴,东北风,4-5级
2012-02-26,5,2,小雪~阴,北风,4-5级
2012-02-27,7,4,多云~小雨,北风~东北风,3-4级
2012-02-28,7,3,小雨~阴,东北风~东南风,3-4级~4-5级
2012-02-29,10,7,小雨,东风~东南风,3-4级
2012-03-01,10,6,小雨~小到中雨,东南风~东北风,3-4级~4-5级
2012-03-02,9,5,小雨,北风~东北风,4-5级
2012-03-03,8,6,小到中雨~中雨,东北风~东风,3-4级
2012-03-04,9,7,中雨~中到大雨,东风~北风,3-4级
2012-03-05,8,5,小雨~阴,西北风,3-4级
2012-03-06,11,6,多云~小雨,西北风~东北风,3-4级
2012-03-07,7,5,小雨,东北风,3-4级~4-5级
2012-03-08,8,4,小雨~阴,东北风,4-5级
2012-03-09,9,3,阴~多云,北风,4-5级
2012-03-10,11,3,晴~多云,北风,3-4级
2012-03-11,11,2,多云~晴,北风,4-5级~3-4级
2012-03-12,9,3,晴~多云,东北风~东南风,3-4级
2012-03-13,11,5,晴,东南风,3-4级
2012-03-14,14,8,晴~多云,东南风,3-4级
2012-03-15,13,10,中雨,东风~东南风,4-5级
2012-03-16,17,11,阴~小雨,西北风,4-5级~3-4级
2012-03-17,15,10,小雨,东风,3-4级
2012-03-18,13,6,小雨,东北风,4-5级
2012-03-19,9,5,小雨,东北风,3-4级
2012-03-20,9,5,小雨~多云,东北风~东风,3-4级
2012-03-21,14,8,晴~多云,东风~东南风,3-4级~4-5级
2012-03-22,18,8,小到中雨~中雨,东南风~北风,3-4级~4-5级
2012-03-23,10,6,小雨~多云,西北风,4-5级
2012-03-24,15,6,晴,西北风,3-4级
2012-03-25,18,7,晴~多云,西风~东北风,3-4级
2012-03-26,18,9,晴~多云,东南风~南风,3-4级
2012-03-27,23,11,晴~多云,西南风~南风,4-5级~3-4级
2012-03-28,23,13,晴~多云,东风~东南风,3-4级
2012-03-29,23,15,多云~阵雨,南风,4-5级
2012-03-30,18,8,中雨~小雨,北风,4-5级
2012-03-31,18,8,晴,西北风,3-4级
2012-04-01,16,14,中雨转小雨,东北风,3-4级
2012-04-02,15,15,中雨转小雨,东北风,3-4级
2012-04-03,17,13,中雨转小雨,东北风,3-4级
2012-04-04,18,12,中雨转小雨,东北风,3-4级
2012-04-05,15,15,中雨转小雨,东北风,3-4级
2012-04-06,18,12,中雨转小雨,东北风,3-4级
2012-04-07,15,15,中雨转小雨,东北风,3-4级
2012-04-08,16,14,中雨转小雨,东北风,3-4级
2012-04-09,17,13,中雨转小雨,东北风,3-4级
2012-04-10,17,13,中雨转小雨,东北风,3-4级
2012-04-11,16,14,中雨转小雨,东北风,3-4级
2012-04-12,17,13,中雨转小雨,东北风,3-4级
2012-04-13,21,11,阴转多云,东风,3-4级
2012-04-14,21,14,多云转小雨,西北风,3-4级
2012-04-15,23,13,多云,北风,3-4级
2012-04-16,21,12,多云,东北风,3-4级
2012-04-17,19,13,多云转阵雨,北风,3-4级转4-5级
2012-04-18,20,14,小雨转阴,北风,4-5级转3-4级
2012-04-19,20,15,多云转小雨,北风,3-4级
2012-04-20,21,15,中雨转阵雨,西南风,3-4级转4-5级
2012-04-21,27,14,多云转晴,西南风,3-4级
2012-04-22,26,17,晴,西北风,3-4级转4-5级
2012-04-23,24,19,多云转阵雨,东风,4-5级
2012-04-24,22,17,中雨转阵雨,东北风,5-6级转4-5级
2012-04-25,24,13,多云转晴,西南风,4-5级转3-4级
2012-04-26,27,15,晴,东风,3-4级转4-5级
2012-04-27,27,17,晴转多云,北风,4-5级
2012-04-28,22,19,阵雨转雷阵雨,西北风,4-5级
2012-04-29,24,20,阴,北风,3-4级
2012-04-30,21,17,雷阵雨,东北风,3-4级
2012-05-01,22,17,阴,北风,4-5级
2012-05-02,27,16,多云转晴,西北风,3-4级
2012-05-03,26,18,阴转多云,东风,小于3级
2012-05-04,31,18,晴,东风,小于3级
2012-05-05,32,20,晴,西北风,小于3级转3-4级
2012-05-06,33,21,晴,西南风,4-5级转3-4级
2012-05-07,28,20,雷阵雨转阵雨,东南风,3-4级转4-5级
2012-05-08,26,18,阴转多云,北风,4-5级转3-4级
2012-05-09,27,17,多云转晴,西南风,3-4级
2012-05-10,27,18,晴,北风,3-4级
2012-05-11,26,19,多云,东风,3-4级
2012-05-12,22,18,中雨,东风,4-5级
2012-05-13,26,18,小雨,东南风,4-5级转3-4级
2012-05-14,28,19,小雨转多云,北风,3-4级
2012-05-15,30,19,多云,西南风,3-4级
2012-05-16,31,20,多云转晴,西风,小于3级转3-4级
2012-05-17,28,19,多云,东北风,3-4级
2012-05-18,25,18,小雨转中雨,北风,4-5级
2012-05-19,21,16,小雨,东北风,4-5级
2012-05-20,24,17,阴转多云,东北风,3-4级
2012-05-21,26,18,多云,北风,3-4级
2012-05-22,24,19,多云转阵雨,东北风,3-4级
2012-05-23,23,19,阵雨,东风,3-4级
2012-05-24,23,18,阵雨,北风,3-4级转4-5级
2012-05-25,25,18,阴转多云,东风,3-4级
2012-05-26,28,18,晴,西风,3-4级
2012-05-27,29,19,晴,东北风,3-4级
2012-05-28,28,20,晴转多云,西北风,3-4级转4-5级
2012-05-29,23,19,中雨转大雨,西北风,4-5级
2012-05-30,24,19,小雨转阴,东风,4-5级
2012-05-31,25,19,多云转阴,东风,4-5级转3-4级
2012-06-01,26,20,小雨转阴,东南风,3-4级
2012-06-02,27,19,多云,东风,3-4级
2012-06-03,25,20,多云转小雨,东南风,3-4级
2012-06-04,26,21,阴转多云,东北风,4-5级
2012-06-05,27,21,阴,东南风,3-4级
2012-06-06,29,22,阵雨,东南风,3-4级
